x,y,class
4.184783157034885,3.1781687355451513,1.0
4.851361724445561,1.5007742207856765,1.0
2.238815762743685,3.2673215718857818,1.0
3.507709144987511,3.481059333382361,1.0
5.129807569587211,2.9157441626250344,1.0
3.661983596323917,4.259971797582286,1.0
1.437242197052262,2.5336454749139383,1.0
4.355283936801278,5.523315742700105,1.0
4.168638958453852,2.8683472721181626,1.0
3.3333355354397183,2.847234019609519,1.0
4.069553486514733,2.037190118833267,1.0
1.3900324152658963,1.0087634074681224,1.0
2.968089221610118,3.3253507335350503,1.0
3.22542357826753,0.5889925615601563,1.0
4.693197521364549,2.6413958279625493,1.0
4.00535548215666,5.4316260733087685,1.0
1.4659864247494134,1.0070421656419812,1.0
5.350494599829165,0.8342919625893561,1.0
3.0788327438752825,1.7630402002738814,1.0
2.8659558196237134,3.115099845250921,1.0
2.798086333464423,3.993757142701309,1.0
4.611615809003838,4.114129726278612,1.0
4.510319831309754,1.4017540785198155,1.0
2.573665602473245,0.3642922623842866,1.0
4.5046787641856145,2.462328848281066,1.0
3.821649065638126,4.177739099245709,1.0
2.4240081414471826,0.2510288888841652,1.0
4.278103469085119,6.8342718027125855,1.0
3.3703290268348387,0.658663141048315,1.0
5.298032196893615,1.3400229002842818,1.0
4.042854820694416,0.5795927316303287,1.0
2.8491286477432287,4.242282065573148,1.0
2.491441924501659,1.5407422988332118,1.0
2.3070359866339727,3.941492928296981,1.0
3.6295649295834984,5.253627266696703,1.0
2.2515273966182416,2.4964032330917902,1.0
2.9438205283574783,5.649138211581738,1.0
3.8997042833747155,1.2451025396635023,1.0
1.3092591971061758,7.348617748522665,1.0
4.09896717329155,3.8211965823919796,1.0
1.1620703528492295,2.8964251613783953,1.0
3.198041127715564,0.3583250932803237,1.0
1.1110130436448797,4.578323347423915,1.0
2.7702831211845176,2.1057682351863534,1.0
7.2967644928173,1.9710130836993336,1.0
4.568701374429411,1.9898522776687158,1.0
2.8753806267942448,1.2726323053460717,1.0
2.8786420352865716,4.583856948833426,1.0
2.8281914505521883,4.9003987297219,1.0
2.21543994015669,2.7038541678749928,1.0
3.267280033533987,2.267003221877294,1.0
0.9502805738853026,0.5008084352670625,1.0
0.4800443798950065,3.525181558601127,1.0
4.930107283839881,1.1098368862909294,1.0
